University,Department,Name,Position,Link,Email,Research Focus
Georgia Tech,Electrical and Computer Engineering,Vahid Eghbal Akhlaghi,Postdoctoral Fellow,https://www.isye.gatech.edu/users/vahid-eghbal-akhlaghi,,
Georgia Tech,Electrical and Computer Engineering,Christos Alexopoulos,Associate Chair for Graduate StudiesProfessor,https://www.isye.gatech.edu/users/christos-alexopoulos,,"Simulation, Stochastic Processes"
Georgia Tech,Electrical and Computer Engineering,Jane Ammons,Professor Emerita,https://www.isye.gatech.edu/users/jane-ammons,,"Industrial Engineering, Applied Optimization"
Georgia Tech,Electrical and Computer Engineering,Sigrun Andradottir,Professor,https://www.isye.gatech.edu/users/sigrun-andradottir,,"Stochastic Optimization, Simulation, Applied Probability"
Georgia Tech,Electrical and Computer Engineering,Turgay Ayer,Virginia C. and Joseph C. Mello ChairProfessor,https://www.isye.gatech.edu/users/turgay-ayer,,"Operations Research, Data Science and Machine Learning, Dynamic Programming and Reinforcement Learning, Economic Modeling, Empirical Analysis, Healthcare Analytics, Practice-Focused Research"
Georgia Tech,Electrical and Computer Engineering,Hayriye Ayhan,Professor,https://www.isye.gatech.edu/users/hayriye-ayhan,,"Applied Probability, Stochastic Processes"
Georgia Tech,Electrical and Computer Engineering,Ali Barenji,Senior Research Scientist,https://www.isye.gatech.edu/users/ali-barenji,,"Multi agent system, Blockchain, Real time control and scheduling, Virtual reality, Robotics, IoT"
Georgia Tech,Electrical and Computer Engineering,Frederick Benaben,Adjunct Professor,https://www.isye.gatech.edu/users/frederick-benaben,,"Information System, Risk and Crisis Management, Model-Driven Engineering, Interoperability, Artificial Intelligence, Service-Oriented and Event-Driven Architectures, Decision Support System"
Georgia Tech,Electrical and Computer Engineering,Mohammad Bisheh,Postdoctoral Fellow,https://www.isye.gatech.edu/users/mohammad-bisheh,,
Georgia Tech,Electrical and Computer Engineering,Brandy Blake,Director of Professional and Technical Communication,https://www.isye.gatech.edu/users/brandy-blake,,"Professional and Engineering Communication, Victorian and Children's Literature, Visual Rhetoric, Writing Center Research"
Georgia Tech,Electrical and Computer Engineering,Douglas Bodner,Part-Time Lecturer,https://www.isye.gatech.edu/users/douglas-bodner,,
Georgia Tech,Electrical and Computer Engineering,Caleb Bugg,Jerry and Harriett Thuesen Postdoctoral Fellow,https://www.isye.gatech.edu/users/caleb-bugg,,
Georgia Tech,Electrical and Computer Engineering,Eyal Castiel,Postdoctoral Fellow,https://www.isye.gatech.edu/users/eyal-castiel,,
Georgia Tech,Electrical and Computer Engineering,Yuang Chen,Adjunct Assistant Professor,https://www.isye.gatech.edu/users/yuang-chen,,
Georgia Tech,Electrical and Computer Engineering,Xin Chen,James C. Edenfield ChairProfessor,https://www.isye.gatech.edu/users/xin-chen,,"Optimization, Revenue Management, Supply Chain Management"
Georgia Tech,Electrical and Computer Engineering,Diego Cifuentes Pardo,Assistant Professor,https://www.isye.gatech.edu/users/diego-cifuentes-pardo,,
Georgia Tech,Electrical and Computer Engineering,Constance Crozier,Assistant Professor,https://www.isye.gatech.edu/users/constance-crozier,,
Georgia Tech,Electrical and Computer Engineering,Mathieu Dahan,Assistant Professor,https://www.isye.gatech.edu/users/mathieu-dahan,,
