University,Department,Name,Position,Link,Email,Research Focus,Profile_link
Stanford,Engineering,Monther Abu-Remaileh,Assistant Professor of Chemical Engineering and of Genetics,https://engineering.stanford.edu/people/monther-abu-remaileh,N/A,N/A,N/A
Stanford,Engineering,Sara Achour,Assistant Professor of Computer Science and of Electrical Engineering,https://engineering.stanford.edu/people/sara-achour,N/A,N/A,N/A
Stanford,Engineering,Maneesh Agrawala,"Forest Baskett Professor and Professor, by courtesy, of Electrical Engineering",https://engineering.stanford.edu/people/maneesh-agrawala,N/A,N/A,N/A
Stanford,Engineering,Alex Aiken,Alcatel-Lucent Professor of Communications and Networking and Professor of Particle Physics and Astrophysics,https://engineering.stanford.edu/people/alex-aiken,N/A,N/A,N/A
Stanford,Engineering,Juan Alonso,Vance D. and Arlene C. Coffman Professor and the James and Anna Marie Spilker Chair of the Department of Aeronautics and Astronautics,https://engineering.stanford.edu/people/juan-alonso,N/A,N/A,N/A
Stanford,Engineering,Russ B. Altman,"Kenneth Fong Professor and Professor of Bioengineering, of Genetics, of Medicine, of Biomedical Data Science, and Senior Fellow at the Stanford Institute for HAI",https://engineering.stanford.edu/people/russ-altman,N/A,N/A,N/A
Stanford,Engineering,Nima Anari,Assistant Professor of Computer Science,https://engineering.stanford.edu/people/nima-anari,N/A,N/A,N/A
Stanford,Engineering,Eric Appel,"Associate Professor of Materials Science and Engineering, Senior Fellow at the Woods Institute for the Environment and Associate Professor, by courtesy, of Pediatrics (Endocrinology) and of Bioengineering",https://engineering.stanford.edu/people/eric-appel,N/A,N/A,N/A
Stanford,Engineering,Amin Arbabian,Associate Professor of Electrical Engineering,https://engineering.stanford.edu/people/amin-arbabian,N/A,N/A,N/A
Stanford,Engineering,Manan Arya,Assistant Professor of Aeronautics and Astronautics,https://engineering.stanford.edu/people/manan-arya,N/A,N/A,N/A
Stanford,Engineering,Itai Ashlagi,Professor of Management Science and Engineering and Senior Fellow at the Stanford Institute for Economic Policy Research,https://engineering.stanford.edu/people/itai-ashlagi,N/A,N/A,N/A
Stanford,Engineering,Jack Baker,Associate Dean for Faculty Affairs and Professor of Civil and Environmental Engineering,https://engineering.stanford.edu/people/jack-baker,N/A,N/A,N/A
Stanford,Engineering,Nicholas Bambos,Richard W. Weiland Professor in the School of Engineering and Professor of Electrical Engineering,https://engineering.stanford.edu/people/nicholas-bambos,N/A,N/A,N/A
Stanford,Engineering,Zhenan Bao,"K. K. Lee Professor and Professor, by courtesy, of Materials Science and Engineering and of Chemistry",https://engineering.stanford.edu/people/zhenan-bao,N/A,N/A,N/A
Stanford,Engineering,Clark Barrett,Professor (Research) of Computer Science,https://engineering.stanford.edu/people/clark-barrett,N/A,N/A,N/A
Stanford,Engineering,Annelise E. Barron,Associate Professor of Bioengineering,https://engineering.stanford.edu/people/annelise-barron,N/A,N/A,N/A
Stanford,Engineering,David Beach,"Professor (Teaching) of Mechanical Engineering, Emeritus",https://engineering.stanford.edu/people/david-beach,N/A,N/A,N/A
Stanford,Engineering,Gill Bejerano,"Professor of Developmental Biology, of Computer Science, of Pediatrics (Genetics) and of Biomedical Data Science",https://engineering.stanford.edu/people/gill-bejerano,N/A,N/A,N/A
