University,Department,Name,Position,Link,Email,Research Focus
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/alex-abramson,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/saad-bhamla,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/john-blazeck,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/andreas-bommarius,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/fani-boukouvala,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/victor-breedveld,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/blair-brettmann,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/julie-champion,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/lily-cheung,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/christian-cuba-torres,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/michael-filler,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/david-flaherty,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/thomas-fuller,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/benjamin-galfond,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/martha-grover,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/marta-hatzell,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/yuhang-hu,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/vida-jamali,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/christopher-jones,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/ravi-kane,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/paul-kohl,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/william-koros,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/nian-liu,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/ryan-lively,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/hang-lu,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/peter-ludovice,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/martin-maldovan,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/andrew-medford,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/j-carson-meredith,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/sankar-nair,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/nga-lee-sally-ng,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/solomon-tolulope-oyakhire,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/anant-paravastu,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/pamela-peralta-yahya,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/mark-prausnitz,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/matthew-realff,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/nick-sahinidis,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/joseph-scott,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/david-sholl,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/carsten-sievers,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/jacqueline-snedeker,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/natalie-stingelin,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/mark-styczynski,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/yonathan-thio,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/zhaohui-julene-tong,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/krista-walton,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/corey-wilson,,
Georgia Tech,Chemical and Biomolecular Engineering,,,https://chbe.gatech.edu/directory/person/micah-s-ziegler,,
