University,Department,Name,Position,Link,Email,Research Focus
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/salam-ali,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/adjo-amekudzi-kennedy,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/michael-anderson,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/mustafa-m-aral,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/chloe-arson,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/baabak-ashuri,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/nelson-c-baker,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/corliss-l-barham,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/shauna-bennett-boyd,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/rudolph-bonaparte,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/joe-f-bozeman-iii,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/rafael-l-bras,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/joe-brown,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/susan-e-burns,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/zachary-byrd,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/robert-b-carswell,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/yongsheng-chen,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/yong-kwon-cho,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/g-wayne-clough,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/sheng-dai,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/reginald-desroches,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/hang-lucas-dong,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/bruce-r-ellingwood,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/maohong-fan,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/francesco-fedele,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/melissa-fralick,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/jenny-freeman,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/hermann-m-fritz,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/j-david-frost,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/laurie-garrow,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/t-russell-gentry,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/aris-p-georgakakos,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/michael-gooden-jr-med,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/barry-goodno,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/katy-graham,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/emily-grubert,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/randall-l-guensler,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/angshuman-guin,,
GeorgiaTech,Civil and Environmental Engineering,,,https://ce.gatech.edu/directory/person/kevin-haas,,
