University,Department,Name,Position,Link,Email,Research Focus
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/abrahim-ladha,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/jacob-abernethy,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/gregory-abowd-0,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/alexander-t-adams,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/keith-adkins,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/mustaque-ahamad,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/srinivas-aluru,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/mostafa-ammar,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/clio-andris,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/annie-anton,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/alberto-apostolico-1948-2015,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/ronald-arkin,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/rosa-arriaga,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/joy-arulraj,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/ramin-ayanzadeh,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/michael-bailey,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/suguman-bansal,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/sababu-barashango,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/shaowen-bardzell,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/dhruv-batra,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/michael-best,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/ketan-bhardwaj,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/douglas-blough,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/kamau-bobb,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/gregory-bodwin,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/ian-bogost,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/alexandra-boldyreva,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/rodrigo-borela-valente,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/mark-borodovsky,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/mark-braunstein-0,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/oliver-brdiczka,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/gerandy-brito,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/carrie-bruce,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/amy-bruckman,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/spencer-bryngelson,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/elijah-cameron,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/umit-v-catalyurek,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/nisha-chandramoorthy,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/duen-horng-chau,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/peng-chen,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/sonia-chernova,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/elizabeth-cherry,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/sriram-chockalingham,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/edmond-chow,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/henrik-i-christensen,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/xu-chu,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/pak-ho-simon-chung,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/russell-clark,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/thomas-conte,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/tom-conte,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/courtney-crooks,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/rachel-cummings,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/alexandros-daglis,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/bo-dai,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/alberto-dainotti,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/martin-davis-jr,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/munmun-de-choudhury,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/frank-dellaert,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/richard-demillo,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/david-devecsery,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/ashutosh-dhekne,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/lien-diaz,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/bistra-dilkina,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/betsy-disalvo,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/carl-disalvo,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/constantine-dovrolis,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/jon-duke,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/alex-duncan,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/keith-edwards,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/magnus-egerstedt,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/luke-eglington,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/greg-eisenhauer,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/alex-endert,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/irfan-essa,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/frederic-faulkner,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/kellyann-fitzpatrick,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/james-foley,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/daniel-forsyth,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/terry-foster,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/peter-freeman,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/richard-fujimoto-0,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/richard-fujimoto,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/victor-fung,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/merrick-furst,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/zvi-galil,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/vijay-ganesh,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/christina-gardner,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/animesh-garg,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/ada-gavrilovska,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/daniel-genkin,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/amanda-girard,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/ashok-goel,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/eric-gold,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/matthew-gombolay,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/seymour-goodman,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/kinnis-gosha,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/kartik-goyal,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/peter-pk-graff,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/eric-gregori,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/andrea-grimes-parker,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/beki-grinter,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/max-grossman,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/concettina-guerra,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/pedro-guillermo-feijoo-garcia,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/swati-gupta,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/sehoon-ha-0,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/james-haggans,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/david-haglin,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/aaron-hansen,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/akihiro-hayashi,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/james-hays,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/larry-heck,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/christine-heitsch,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/richard-henneman,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/felix-herrmann,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/josiah-hester,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/josiah-hester-0,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/aaron-hillegass,N/A,N/A
GeorgiaTech,Computing Engineering,N/A,N/A,https://www.cc.gatech.edu/people/nathan-hodas,N/A,N/A
