University,Department,Name,Position,Link,Email,Research Focus
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/alena-alamgir,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/faisal-alamgir,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/jason-azoulay,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/blair-brettmann,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/wenshan-cai,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/juan-pablo-correa-baena,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/scott-danielsen,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/antonio-facchetti,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/hamid-garmestani,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/lauren-garten,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/rosario-gerhardt,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/arun-gokhale,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/guoxiang-emma-hu,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/karl-jacob,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/seung-soon-jang,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/sundaresan-jayaraman,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/josh-kacher,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/satish-kumar,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/mo-li,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/meilin-liu,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/mark-losego,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/sandra-magnus,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/matthew-mcdowell,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/david-mcdowell,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/valeria-milam,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/christopher-muhlstein,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/rampi-ramprasad,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/mary-lynn-realff,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/john-reynolds,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/himani-sharma,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/meisha-shofner,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/preet-singh,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/robert-speyer,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/mohan-srinivasarao,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/aaron-stebner,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/natalie-stingelin,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/naresh-thadhani,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/anju-toor,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/vladimir-tsukruk,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/lily-turaski,,
GeorgiaTech,Engineering,,,https://www.mse.gatech.edu/people/eric-vogel,,
