University,Department,Name,Position,Link,Email,Research Focus
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/keith-alexander,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/nitash-balsara,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/shannon-boettcher,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/carlo-carraro,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/michelle-chang,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/douglas-clark,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/joelle-frechette,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/teresa-head-gordon,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/laura-hirshfield,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/alexander-katz,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/jay-keasling,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/aditi-krishnapriyan,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/sanjay-kumar,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/markita-landry,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/jeffrey-long,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/roya-maboudian,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/brian-maiorella,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/kranthi-mandadapu,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/bryan-mccloskey,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/ali-mesbah,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/clayton-radke,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/neil-razdan,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/jason-ryder,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/david-schaffer,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/karthik-shekhar,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/rui-wang,N/A,N/A
Berkeley,Chemical and Biomolecular Engineering,N/A,N/A,https://chemistry.berkeley.edu/people/wenjun-zhang,N/A,N/A
