University,Department,Name,Position,Link,Email,Research Focus
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/vahid-eghbal-akhlaghi,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/christos-alexopoulos,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/jane-ammons,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/sigrun-andradottir,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/turgay-ayer,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/hayriye-ayhan,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/ali-barenji,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/frederick-benaben,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/mohammad-bisheh,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/brandy-blake,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/douglas-bodner,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/caleb-bugg,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/eyal-castiel,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/yuang-chen,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/xin-chen,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/diego-cifuentes-pardo,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/constance-crozier,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/mathieu-dahan,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/kevin-dalmeijer,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/arthur-delarue,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/shijie-deng,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/santanu-dey,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/yu-ding,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/harvey-donaldson,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/alan-erera,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/augustine-esogbue,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/robert-foley,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/chris-gaffney,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/gian-gabriel-garcia,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/nagi-gebraeel,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/rohan-ghuge,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/david-goldsman,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/oktay-gunluk,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/swati-gupta,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/steven-hackman,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/rabab-haider,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/amira-hijazi,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/xiaoming-huo,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/katundu-imasiku,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/john-jarvis,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/liwei-jiang,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/ronald-johnson,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/roshan-joseph,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/jovan-julien,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/pinar-keskinocak,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/tuba-ketenci,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/seong-hee-kim,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/anton-kleywegt,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/mingu-kwak,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/guanghui-lan,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/matthieu-lauras,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/i-hsiang-lee,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/jing-li,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/ying-li,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/xiao-liu,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/jon-lowe,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/jye-chyi-lu,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/jiawei-lu,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/siva-theja-maguluri,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/carlos-martinez-mori,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/leon-mcginnis,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/yajun-mei,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/johannes-milz,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/renato-monteiro,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/benoit-montreuil,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/kaitlyn-kati-moug,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/debankur-mukherjee,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/vidya-muthukumar,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/nicoly-myles,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/bento-natura,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/dima-nazzal,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/george-nemhauser,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/arkadi-nemirovski,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/dmitrii-ostrovskii,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/ashwin-pananjady,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/r-gary-parker,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/kamran-paynabar,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/srinivas-peeta,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/sofia-perez-guzman,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/alan-porter,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/murali-rajagopalan,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/siva-ramani,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/donald-ratliff,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/spiridon-reveliotis,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/edwin-romeijn,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/william-rouse,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/nikolaos-sahinidis,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/rosemarie-santa-gonzalez,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/tejas-santanam,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/martin-savelsbergh,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/katya-scheinberg,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/nicoleta-serban,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/richard-serfozo,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/alexander-shapiro,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/gunter-sharp,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/jianjun-shi,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/mohit-singh,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/saurabh-sinha,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/joel-sokol,,
Georgia Tech,Industrial Systems Engineering,,,https://www.isye.gatech.edu/users/eunhye-song,,
