University,Department,Name,Position,Link,Email,Research Focus
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/abdel-khalik-0,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/adams-dnasia,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/agustin,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/aidun,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/alapan,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/aldridge,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/alexeev,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/allen,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/allen,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/andrews,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/ansari,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/antolovich,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/antoniou,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/applebee,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/user/1065,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/arvanitis,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/baker,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/user/1072,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/barkley,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/barnett,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/barrow,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/bassiri-gharb,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/biegalski,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/black,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/blake,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/blevins,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/book,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/bras,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/brown,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/user/1063,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/burdell,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/burns,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/charp,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/chen-0,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/chen,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/cho,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/choi,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/clement,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/cola,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/colton,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/colwell,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/compton,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/cowan,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/crittenden,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/cunefare,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/curtis,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/danyluk,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/das,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/davis,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/dean,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/declercq,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/degertekin,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/deo,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/desai-0,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/desai,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/detchprohm,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/dewji,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/dickerson,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/dingreville,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/dixon,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/dominguez,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/faculty/dorozhkin,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/drake,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/duff,,
Georgia Tech,Mechanical Engineering,,,https://www.me.gatech.edu/staff/durham,,
